date,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV
197307,13.04,11.23,10.85,13.79,18.27,9.93,9.45,10.49,9.77,18.84,9.51,7.1,7.4,8.17,13.81,9.63,9.59,7.33,8.14,13.38,4.23,3.25,2.95,3.33,8.59
197308,-5.03,-5.18,-3.86,-5.69,-7.05,-4.85,-4.65,-6.68,-3.75,-3.73,-2.34,-1.56,-2.84,-4.54,-3.46,-0.46,-1.99,-2.12,-2.07,-2.93,-1.1,-3.44,-3.8,-3,-3.96
197309,9.19,6.69,9.87,8.72,10.69,8.48,10.01,11.37,9.63,11.28,12.07,9.85,9.5,10.16,10.24,10.4,11.32,10.53,9.88,12.02,7.52,8,7.16,-2.08,4.1
197310,1.73,1.08,0.59,0.21,-1.57,2.23,0.75,-0.6,1.14,-2.83,0.97,0.89,0.66,0.15,-1.34,2.17,1.59,-1.25,-2.04,-1.82,0.69,2.14,-2.24,0.91,-1.1
197311,-18.47,-17.36,-19.83,-18.67,-22.59,-18.82,-15.65,-17.37,-21.22,-21.97,-18.86,-15.83,-18.02,-16.02,-19.44,-13.76,-16.4,-14.77,-16.97,-20.29,-11.82,-10.62,-9.54,-10.53,-11.65
197312,-4.36,-3.51,-2.17,-3.32,-4.02,0.13,-2.99,-2.27,-2.57,-0.56,2.13,0.28,0.46,-1.98,1.13,6.22,3.49,3.66,1.34,2.17,3.36,4.69,2.87,-2.3,1.56
197401,18.43,15.5,13.5,12.96,11.91,13.91,11.67,11.73,7.95,5.5,8.37,7.75,7.64,6.19,4.77,4.33,4.53,4.51,1.61,0.3,0.63,-2.94,-0.54,-1.32,-2.42
197402,0.3,-0.14,-0.46,1.05,-0.47,2.86,1.29,2.06,0.21,0.29,2.77,1.28,0.04,-1.31,-0.99,3.52,2.08,0.73,-1.29,-0.83,1.7,0.5,0.25,-1.07,-0.07
197403,0.85,2.33,-0.85,0.62,-0.21,-0.76,-1.11,0.68,1.28,-0.79,-0.77,0.29,-1.48,-0.79,-3.52,-2.7,-1.99,-2.95,-2.39,-5.09,-2.16,-3.03,-2.68,-1.48,-2.55
197404,-3.99,-4.76,-5.32,-4.59,-6.31,-3.7,-4.27,-5.83,-5.2,-6.93,-4.56,-5.13,-5.4,-5.38,-6.12,-4.25,-2.89,-6.56,-8.08,-6.94,-3.44,-3.31,-4.75,-3.86,-3.83
197405,-7.07,-6.7,-7.16,-6.4,-8.5,-7.02,-7.17,-7.64,-6.79,-7.68,-6.34,-7.71,-6.68,-7.26,-9.37,-7.63,-4.14,-7.33,-6.48,-7.76,-3.42,-4.56,-1.84,-1.17,-3.26
197406,-1.93,-0.03,-2.83,-2.05,-4.05,-1.4,-0.78,-1.23,-0.84,-4.49,-0.96,-1.58,-3.49,-4.44,-3.94,-1.07,-2.96,-1.7,-3.61,-6.54,-0.41,-0.87,-0.92,-1.95,-5.7
197407,-4.53,-3.2,-3.65,-5,-7.43,-4.83,-2.97,-3.02,-3.23,-6.2,0.74,-0.21,-3.6,-5.51,-5.67,-6.66,-2.46,-2.36,-7.89,-7.08,-2.94,-6.84,-8.52,-8.01,-11.75
197408,-6.32,-6.42,-7.4,-7.31,-8.97,-4.31,-8.81,-7.17,-9.45,-9.72,-4.85,-7.6,-8.57,-9.38,-10.45,-6.45,-7.93,-10.02,-10.53,-11.1,-6.94,-8.14,-7.8,-9.94,-9.54
197409,-7.53,-6.31,-7.62,-7.42,-11.66,-7.1,-6,-5.69,-9.43,-12.37,-5.61,-4.58,-8.69,-7.57,-14.09,-8.49,-6.12,-4.87,-9.56,-10.85,-9.18,-9.54,-10.08,-13.56,-17.82
197410,10.24,9.59,8.97,7,9.36,9.95,8.83,9.22,7.95,12.68,7.6,8.85,10.53,12.52,15.18,14.11,13.33,14.14,17.67,14.45,22.99,19.58,15.2,19.62,24.35
197411,-4.67,-4.53,-5.44,-5.41,-7.38,-2.65,-2.2,-5.88,-5.61,-7.35,-2.9,-2.33,-1.5,-5.4,-5.23,-0.49,-2.92,-1.56,-2.73,-2.36,-1.29,-0.99,-4.62,-5.28,-5.42
197412,-7.87,-5.67,-8.09,-9.05,-9.47,-6.56,-4.05,-4.86,-6.34,-7.68,-4.79,-3.47,-4.55,-4.93,-7.34,-2.38,-3.77,-4.26,-1.98,-5.4,0.2,-0.11,-1.2,-2.66,-6.31
197501,31.64,26.46,28.69,26.78,31.06,27.94,20.17,24.29,29.35,27.35,22.62,21.86,24.12,25.17,21.69,22.3,22.82,22.85,19.39,17.57,7.8,9.38,12.04,10.48,15.68
197502,5.05,5.27,6.52,5.44,3.31,4.28,3.7,2.54,4.35,7.55,4.56,4.06,2.93,7.64,3.41,4.42,1.42,2.52,3.06,6.64,2.55,5.08,5.91,10.61,5.52
197503,7.98,7.72,8.16,8.08,12.2,6.06,6.48,6.75,6.02,8.45,4.2,3.36,6.28,8.26,6.66,4.93,4.72,5.39,6.29,7.2,4.08,4.51,0.77,1.78,3.94
197504,2.82,3.86,5,3.27,6.15,4.47,5.42,3.26,3.77,3.24,5.39,3.15,1.98,6.48,5.85,4.29,4.48,2.63,4.33,6.72,5.65,2.61,2.78,7.36,8.56
197505,7.29,6.46,8.92,8.99,10.84,8.46,5.38,9.28,7.23,10.54,5.48,7.12,6.01,5.52,5.17,5.1,5.04,7.85,5.28,6.98,7.53,5.98,5.05,6.17,3.18
197506,8.3,8.38,8.62,9.03,6.33,7.61,6.15,5.46,9.42,7.3,5.51,5.12,7.65,6.32,5.05,5.87,6.55,8.46,8.55,6.55,4.91,5.9,5.24,3.5,3.54
197507,-0.15,-1.42,0.39,-0.56,-0.92,-2.37,-3.73,-3.18,-3.01,-3.93,-3.87,-3,-3.82,-5.73,-4.83,-7.07,-6.15,-5.6,-4.53,-7.52,0.18,-7.12,-7.88,-7.02,-6.31
197508,-7.47,-5.47,-5.55,-5.16,-7.02,-6.65,-3.62,-4.35,-4.45,-5.87,-3.74,-5.12,-2.36,-4.37,-3.73,-3.02,-2.33,-3.42,-4.1,-4.52,-3.14,-2.47,-1.45,-1.23,-1.82
197509,-4.07,-1.7,-4.76,-3.03,-3.47,-3.33,-3.56,-4.42,-3.79,-3.8,-5.6,-3.61,-5.07,-3.88,-2.75,-5.46,-3.69,-2.33,-3.13,-5.2,-1.64,-3.24,-2.39,-4.69,-4.59
197510,1.26,1.97,3.43,1.22,2.44,2.54,3.64,3.65,3.86,2.71,4.37,5.54,2.01,2.19,2.24,7.63,5.96,6.51,5.7,4.03,9.05,9.02,7.81,6.73,3.66
197511,1.91,2.84,3.69,2.54,2.15,2.06,1.46,4.41,5.03,1.72,2.92,5.31,3.03,1.54,2.52,3.76,3.88,3.47,3.78,5.05,2.43,6.16,4.57,1.99,0.59
197512,-0.54,-1.48,-1.05,-1.93,-1.17,-1.69,-1,0.14,-0.85,-2.1,0.02,1.17,0.99,-1.69,-0.83,0.02,-0.8,0.73,-0.61,-2.01,0.22,-1.83,-1.96,-0.84,-0.85
197601,24.16,20.63,21.33,20.09,22.2,20.53,19.34,17.36,19.88,17.34,19.54,16.05,15.77,17.21,17.72,18.75,16.66,13.19,13.26,15.46,13.41,10.38,11.7,9.84,11.65
197602,14.95,12.22,10.34,10.27,11.71,10.86,6.21,9.68,6.83,7.91,8.52,5.14,5.66,5.29,5.05,4.24,3.84,2.27,1.94,3.28,3.44,-0.25,-0.58,-2.4,-2.28
197603,2.2,0.82,1.99,0.69,2.71,2.01,1.2,1.72,0.5,0.2,4.43,2.42,0.81,1.14,0.25,2.57,1.72,2.17,0.97,1.38,4.84,3.74,2.67,2.43,3.43
197604,-1.86,-0.7,-1.49,-0.84,-2.63,-2.53,-1.25,-0.76,-0.76,-0.95,-1.24,-0.55,0.02,-2.38,-0.03,-2.97,-1.55,-0.86,-0.92,-1.15,-0.57,-3.47,-1.33,-0.35,-0.14
197605,-3.67,-3.76,-2.38,-2.66,-2.51,-2.43,-2.47,-2.55,-2.04,-1.5,-1.11,-3.44,-1.56,-0.45,-1,-1.8,-2.54,-2.31,-2.05,0.93,-1.18,-2.69,-1.15,-0.54,0.74
197606,2.34,1.75,2.19,4.38,3.3,4.09,5.11,1.63,3.39,3.08,6.93,6.26,5.33,5.06,5.31,7.48,6.38,4.81,4.49,5.09,4.02,4.93,4.94,4.07,4.25
197607,-0.56,0.13,1.24,0.69,-0.79,0.59,1.2,-0.86,1.93,-0.24,-0.92,0.44,0.88,0.3,-1.32,1.74,0.26,0.05,0.2,-0.49,0.65,-1.53,0.25,-0.75,-1.6
197608,-3.43,-0.56,-0.39,-1.68,-2.95,-2.2,-2.27,-1.75,-2.61,-2.88,-3.63,-2.17,-0.59,-0.15,-2.11,-3.89,-1.64,-0.22,0.85,-1.14,-0.65,-1.25,0.91,1.27,-1.06
197609,1.13,2.25,1.43,2,2.22,1.57,2.76,4.8,2.45,4.96,0.96,2.98,2.13,2.22,4.27,3.01,1.58,2.06,2.67,2.71,-0.79,2.35,3.74,1.84,3.14
197610,-3.2,-1.43,-1.24,-2.28,-1.86,-1.44,-2.36,-2.01,-2,-2.87,-2.7,-1.22,-2.01,0.06,-2.57,-1.58,-3.77,-1.18,-0.61,-2.37,-4.16,-3.62,-2.45,-1.59,-2.12
197611,1.58,2.84,3.26,2.77,4.69,4.74,2.81,2.64,4.73,3.57,5.33,4.48,3.74,3.32,3.91,2.86,2.76,4.53,2.93,3.48,1.14,-0.45,0.73,-0.29,-1.27
197612,11.05,8.98,9.67,10.13,10.94,11.18,9.88,11.28,8.87,7.97,10.04,7.85,9.19,8.65,5.84,8.78,8.18,7.67,7.19,6.25,8.12,7.23,6.42,4.87,3.46
197701,5.46,3.81,4.58,4.39,4.42,2.71,1.45,0.74,1.2,0.99,0.4,0.59,-0.12,-1.06,-0.06,-2.24,-4.25,-1.73,-2.63,-1.88,-4.34,-2.11,-3.77,-4.56,-8.62
197702,-0.35,-0.16,-0.25,2.11,-1.36,-1.01,-0.52,-0.63,-1.16,-0.68,-3.06,-1.53,-0.88,-1.82,-2.89,-2.23,-2.5,-0.47,-3.08,-3.09,-3.28,-2.65,-2.17,-0.63,-2.26
197703,1.25,2.62,0.25,0.62,0.01,-1.04,0.58,0.22,0.72,0.09,-1.02,0.68,0.66,0.71,0.66,-0.27,0.91,-1.06,0.82,-0.22,0.65,-1.72,-1.13,-1.73,-1.49
197704,2,2.48,1.37,2.38,1.35,2.67,1.93,1.69,2.07,0.82,1.62,2.84,0.97,1.5,1.34,3.08,0.21,1.83,2.93,0.72,0.35,0.92,2.03,-1.49,0.01
197705,0.31,0.8,-0.34,0.91,-0.05,-0.8,0.75,-0.64,0.29,-0.43,-0.06,-0.24,0.49,0.01,0.54,-0.8,-2.15,-0.77,-0.11,-0.29,-2.2,-1.04,-0.66,-1.52,-1.88
197706,6.55,7.36,6.15,4.46,7.03,7.64,6.87,5.31,5.67,8.1,7.63,5.64,4.6,5.33,8.99,3.18,3.98,5.12,5.68,6.77,1.58,4.95,4.08,5.1,5.03
197707,0.32,0.49,2,1.61,1.41,-0.76,0.35,0.1,-0.19,-0.03,-1.2,-0.7,-0.88,0.39,-0.73,-2.5,-1.93,-1.79,-2.06,-1.41,-1.42,-0.08,-1.54,-1.22,-2.77
197708,-2.26,-0.24,-0.07,-0.54,-0.39,-1.86,-0.95,-1.04,-0.24,-0.07,-0.49,-0.93,-0.78,-0.47,0.17,1.95,-3.98,-0.67,-2.18,-1.69,-4.38,-1.5,-2.17,-0.48,-1.45
197709,1.36,2.1,2.06,2.02,1.36,0.07,0.93,-1.36,2.51,0.47,-0.45,0.57,0.65,1.75,2.55,-1.25,-0.44,0.62,0.21,1.85,-3.56,-0.05,0.56,-0.22,-1.23
197710,-2.82,-1.63,-1.84,-1.77,-3.29,-3.93,-0.92,-1.37,-3.5,-2.94,-3.81,-2.38,-2.73,-1.31,-2.85,-4.35,-3.26,-2.81,-3.28,-4.32,-2.77,-4.63,-4.55,-3.79,-4.34
197711,8.81,7.45,9.3,8.31,7.93,7.74,7.84,9.42,8.22,8.22,8.83,7.04,6.77,6.42,6.03,8.52,5.81,5.26,7.32,6.69,7.12,3.77,2.72,3.08,4.61
197712,2.25,2.98,2.47,3.37,3.49,1.31,-0.01,0.59,1.99,2.66,1.88,2.41,0.75,-0.05,1.02,1.04,1.14,0.99,0.61,-0.89,0.18,-0.44,0.77,1.21,-0.66
197801,0.24,-1.58,-1.91,-2.33,-1.74,-2.86,-2.37,-3.87,-3.7,-4.83,-3.42,-3.58,-2.7,-3.86,-6.7,-4.75,-5.26,-4.93,-5.1,-6.69,-5.27,-5.52,-5.47,-6.02,-7.9
197802,4.12,3.5,2.25,2.6,3.48,2.6,1.41,0.7,1.58,1.45,2.38,1.25,0.39,0.29,0.93,0.43,-0.33,-0.17,-1.39,-1.24,0.34,-2.21,-0.09,-2.27,-2.65
197803,9.89,6.1,7.15,8.28,7.57,9.88,4.69,7.15,5.13,6.73,6.83,7.46,4.35,6.45,3.69,7.23,4.42,4.43,4.22,5.2,4.91,2.21,2.69,1.49,3.46
197804,8.1,7.6,8.04,9.51,8.68,7.4,6.73,6.93,7.22,10.5,7.68,6.43,7.75,6.67,9.51,7.81,7.11,6.17,6.62,8.37,11.11,7.99,7,10.22,10.62
197805,8.87,6.42,5.93,8.79,7.89,7.35,4.22,4.57,4.03,7.54,6.01,4.07,3.98,3.94,5.97,3.49,3.6,3.55,3.24,3.1,6.1,0.91,1.57,0.47,1.46
197806,0.13,-0.02,0.19,0.73,0.54,-0.53,-0.99,2.21,0.5,-0.27,-0.84,1.64,-0.48,0.26,-0.63,-0.4,-1.19,-0.59,0.04,-0.37,-1.77,-1.44,-2.33,-1.48,-1.36
197807,4.28,3.84,6.85,6.79,6.27,7.97,5.87,5.46,5,6.34,5.48,3.27,4.5,4.89,7.21,7.42,5.23,4.33,7.4,8.83,4.15,7.2,4.57,4.65,6
197808,10.59,9.12,7.38,9.59,9.93,9.29,7.98,7.82,7.48,9.69,9.76,6.78,7.19,5.43,8.23,4.28,3.57,7.64,4.68,5.8,1.91,3.62,2.48,3.29,3.65
197809,0.98,-1.13,-0.5,-0.67,-1.15,-1.56,0.44,-0.92,-0.78,-2.32,-1.8,-0.03,-2.11,-2.02,-1.47,-0.9,0.65,-1.87,-1.99,-2.32,1.49,-0.91,-0.12,-0.41,-2.15
197810,-22.38,-19.98,-22.13,-22.06,-25.26,-22.07,-16.81,-15.95,-17.89,-23.77,-22.01,-15.84,-15.17,-15.16,-18.93,-14.82,-11.85,-14.47,-13.42,-15.08,-9.72,-7.66,-7.59,-9.67,-10.28
197811,5.04,4.8,6.19,7.98,6.63,5.6,3.15,5.12,4.78,10.39,6.57,2.47,4.98,4.99,5.19,4.69,1.7,3.13,3.33,3.45,1.26,3.96,2.68,2.22,4.04
197812,2,0.1,1.21,2.26,3.27,2.86,0.26,2.25,3.16,2.89,2.31,0.66,1.37,2.66,2.31,0.35,0.56,1.03,2.26,0.97,1.58,2.72,0.66,1.38,2.3
197901,11.66,9.99,10.54,10.27,9.82,9.17,10.6,5.94,7.48,8.92,9.27,7.79,6.23,7.27,7.25,7.58,8.86,6.83,3.7,5.21,6.27,4.19,3.96,3.19,3.63
197902,-1.98,-1.39,-2.86,-2.52,-3.5,-3.07,-2.1,-1.55,-3.49,-4.09,-2.22,-1.84,-4.12,-2.44,-2.41,-3.46,-2.51,-3.64,-3.57,-5.24,-2.91,-2.44,-2.99,-3.1,-3.44
197903,9.09,8.5,8.34,8.82,10.24,11.97,6.99,6.99,9.01,10.67,13.48,9.1,6.58,7.91,10.94,8.06,7.69,7.53,7.04,9.21,8.53,5.99,3.57,5.67,7.58
197904,4.01,2.76,3.2,2.06,2.37,3.95,2.23,0.86,2.84,2.33,1.95,2.96,2.18,1.56,1.65,0.72,0.12,2.55,1.13,1.69,-0.66,-0.23,-0.45,1.17,1.08
197905,-1.37,-0.69,-1.7,-1.78,1.7,-2.17,-0.62,-1.15,-1.48,-1.3,-1.2,-0.35,-1.65,-2.27,-2.9,-1.81,-0.2,-2.62,-0.91,0.23,-0.76,-2.17,-1.63,-1.33,-0.69
197906,5.72,4.46,5.03,4.53,5.85,6.29,4.72,6.42,4.77,7.3,3.95,5.73,4.11,5.71,5.5,5.08,7.28,8.51,4.39,6.51,5.43,2.77,3.28,5.37,5.85
197907,2.81,2.96,2.29,3.18,1.82,1.65,4.46,2.25,3.4,3.86,3.65,3.27,4.19,5.59,1.62,3.49,3.11,2.71,1.25,2.57,3.55,-0.02,1.8,1.2,0.95
197908,7.79,6.72,9.08,7.34,8.92,6.65,6.92,8.82,7.08,8.92,5.91,7.58,5.99,7.65,8.12,6.75,5.45,6.98,7.36,8.81,7.36,4.07,6.47,6.22,9.21
197909,-0.63,0.5,-1.81,0.09,-0.92,-0.06,-1.33,-0.34,-1.4,-0.01,-0.77,-1.25,-2.1,0.25,0.04,0.43,-2.11,-1.1,-0.83,0.67,1.34,0.63,0.76,-1.19,-0.29
197910,-11.05,-9.96,-9.04,-11.23,-11.29,-11.81,-11.88,-11.42,-9.62,-9.93,-10.54,-9.92,-8.87,-8.57,-8.52,-9.31,-9.32,-8.53,-8.02,-9.04,-6.1,-4.33,-7.65,-7.11,-5.85
197911,7.22,6.01,8.68,7.98,9.03,8.4,7.57,6.9,6.9,11.04,8.55,5.86,7.94,7.55,10.66,9.18,6.42,7.09,6.05,9.71,6.69,4.84,4.45,5.88,8.45
197912,8.85,5.97,9.01,8.84,7.79,8.32,4.34,5.96,6.9,6.86,3.9,4.36,2.44,3.33,6.3,5,2.91,2.81,2.03,5.46,5.39,-0.18,2.76,1.53,3.98
198001,10.76,9.42,11.74,10.78,11.21,7.48,5.38,4.76,6.98,8.41,9.04,5.13,5.48,6.6,6.85,9.13,3.31,5.64,4.88,7.41,6.82,7.26,6.44,2.51,6.68
198002,-1.44,-1.77,-2.55,-0.16,0.08,-1.26,-1.35,-3.78,-2.47,-1.28,-3.24,-2.82,-2.9,-3.58,-2.27,-2.36,-3.9,-2.02,-3.27,-1.74,3.29,3.96,-1.1,-3.85,-2.76
198003,-20.19,-16.55,-17.67,-19,-20.71,-19.33,-16.2,-15.37,-16.16,-18.69,-16.28,-15.12,-13.52,-15.68,-17.27,-17.35,-12.87,-12.18,-10.1,-14.89,-13.46,-10.79,-9.56,-5.9,-8.83
198004,7.61,5.95,3.68,6.71,5.91,6.01,5.23,5.6,4.31,6.25,8.43,8.05,6.66,6.53,7.16,5.33,7.61,8.1,6.09,5.42,5.15,4.41,3.3,5.68,2.79
198005,6.13,5.99,7.98,7.06,7.1,8.74,9.04,8,8.82,9.52,7.99,6.89,7.23,6.52,9.54,7.89,9,7.33,8.19,8.77,6.46,4.42,5.75,5.05,4.43
198006,4.51,3.92,4.53,5,4.4,3.36,3.69,3.36,5.01,6.04,2.54,3.65,5.26,4.27,6.13,2.98,4.33,4.6,5.47,4.87,1.47,2.97,2.37,3.05,3.78
198007,9.59,10.47,9.95,10.77,11.84,6.75,8.88,10.09,10.03,14.71,6.56,5.78,6.64,10.4,14.38,7.91,6.3,5,8.42,11.04,10.16,3.68,5.6,6.22,9.15
198008,8.29,6.34,7.49,8.36,10.12,4.47,4.56,6.36,5.1,7.4,4.61,4.13,4.55,4.16,5.09,2.37,0.8,0.99,3.76,4.38,1.35,2.75,0.51,1.45,1.27
198009,3.42,4,1.89,4.9,4.4,2.86,2.01,3.53,3.43,4.17,1.61,2,3.11,3.3,4.91,2.64,2.24,2.6,2.79,3.83,-0.12,2.38,2.32,2.3,8.63
198010,3.78,4.21,5.57,5.84,6.15,2.12,2.22,3.96,3.1,4.79,3.05,1.59,2.45,2.97,2.51,0.32,-0.85,-0.79,1.81,3.31,-1.87,2.42,1.43,3.73,1
198011,5.37,5.18,6.89,7.53,10.68,7.53,5.05,5.39,7.66,12.28,5.36,2.26,3.94,8.58,10.23,5.37,4.71,6.96,10.38,12.64,3.44,11.01,12.3,12.53,17.7
198012,-4.13,-2.59,-5.12,-4.51,-6.37,-4.44,-1.47,-0.92,-2.22,-4.21,-0.74,-0.07,-2.2,-3.28,-3.81,-3.1,-1.78,-0.82,-0.49,-4.64,1.52,-4.4,-2.52,-3.95,-3.33
198101,0.46,1.13,2.58,-0.75,-2.47,1.32,1.31,-0.5,-2,-3.32,0.73,1.35,1.26,-3.04,-4.41,-0.97,0.22,-1.67,-3.97,-6.42,-1.96,-1.75,-5.08,-5.9,-10.46
198102,1.1,0.94,1.81,-0.31,-2.18,2.25,4.06,2.66,1.03,0.97,3.25,2.34,2.74,1.89,0.68,3.52,3.1,2.3,3.41,0.02,3.65,3.73,2.7,0.22,0.09
198103,7.55,7.19,7.12,10.62,8.54,5.46,7.27,6.63,8.41,9.53,5.36,7.45,7.06,8.39,9.63,9.74,7.25,6.62,7.52,9.43,10.45,1.6,2.82,1.57,3.38
198104,3.67,3.22,3.3,4.61,5.15,2.04,5.13,3.66,2.71,2.37,0.09,4.21,0.13,2.3,3.67,-1.38,2.14,-1.2,-0.29,1.95,-1.06,0.22,-3.07,-3.48,-3.52
198105,3.63,4.15,3.98,4.23,4.73,1.36,2.51,2.95,2.24,5.38,3.75,1.45,2.48,1.89,4.8,1.48,1.85,2.2,2.4,4.42,1.09,0.47,-0.57,-0.54,1.93
198106,-0.54,-0.12,1.27,-2.28,-3.86,-0.43,0.42,0.48,-3.47,-5.5,-1.99,1.21,-0.04,-0.43,-5.68,-1.06,1.49,-0.28,-1.24,-5.57,-2.75,-0.64,0.44,0.94,-3.06
198107,-2.84,-2.39,-3.19,-3.42,-4.08,-1.46,-1.95,-1.7,-1.84,-2.79,-1.69,-1.14,-3.05,-1.94,-1.54,-3.21,-1.91,-0.29,-2.79,1.82,-3.39,-2.04,-1.11,2.39,3.58
198108,-8.6,-6.03,-6.92,-8.21,-11.54,-7.82,-5.1,-6.58,-5.91,-10.62,-6.87,-3.51,-5.96,-5.44,-8.23,-6.73,-3.98,-3.5,-4.67,-8.32,-6.05,-5.02,-4.1,-6.3,-6.77
198109,-8.37,-7.15,-7.81,-7.14,-12.78,-9.37,-3.85,-5.2,-6.28,-9.96,-6.33,-5.44,-3.37,-5.84,-8.46,-7.1,-5.21,-5.74,-6.75,-9.02,-1.46,-3.98,-2.81,-5.62,-9.03
198110,7.27,7.04,8.6,7.91,9.62,9.63,5.87,7.66,7.54,9.33,6.84,8.32,4.19,6.62,8.8,5.51,4.59,6.32,6.65,9.28,3.19,0.72,5.08,5.84,11.7
198111,1.67,4.1,2.04,1.89,0.4,2.78,5.88,4.61,4.01,3.75,1.59,3.34,4.88,3.15,1.15,4.4,4.86,4.72,4.56,4.13,7.17,4.28,4.59,4.92,4.14
198112,-1.25,0.13,-1.57,-1.33,-3.97,-1.53,-1.31,-0.75,-0.81,-2.97,-0.33,-1.98,-1.11,-2.07,-3.02,-1.17,-1.77,-2.4,-2.02,-4.94,-1.91,-0.28,-2.47,-4.27,-4.63
198201,-0.9,-1,-1.39,-1.1,-2.94,-3.42,-3.04,-3.18,-3.65,-4.56,-2.77,-0.2,-3.64,-2.54,-6.69,-5.4,-1.64,-4.11,-2.77,-6.36,-1.01,0.79,-0.74,-1.8,-5.35
198202,-3.54,-1.66,-2.59,-4.21,-6.45,-4.12,-3.09,-2.01,-3.84,-6.16,-3.66,-0.12,-2.05,-3.12,-7.34,-2.93,-2.94,-1.73,-2.52,-7.21,-2.59,-3.03,-3.6,-6.05,-9.92
198203,-0.56,0.79,-1.53,-2.2,-1.84,-0.88,1.26,1.34,-1.32,-3.07,-0.75,2.12,1.62,-1.15,-1.69,0.45,-0.45,0.45,-0.93,-4.18,-0.28,0.34,0.77,-0.94,-3.83
198204,4.85,5.58,5.14,5.44,7.26,6.35,5.42,3.86,4.81,7.36,5.92,4.89,3.88,6.6,5.83,5.67,4.71,4.24,4.78,6.17,7.56,5.08,2.12,3.92,5.73
198205,-1.45,-0.67,-1.33,-1.02,-2.38,-3.23,-1.51,-2.3,-3,-4.17,-5.07,-0.19,-1.95,-2.29,-3.82,-3.65,-3.87,-3.44,-3.59,-5.4,-4.63,-1.58,-3.17,-2.5,-2.27
198206,-2.33,-1.94,-1.93,-2.47,-3.74,-1.03,-1.22,-0.87,-2.3,-4.08,-2.93,-0.04,-1.9,-2.64,-3.01,1.08,-0.11,-1.77,-3.4,-4.32,-0.97,-1.36,-0.01,-1.83,-5.28
198207,-1.06,-0.19,-0.28,-0.04,-4.04,-1.33,-0.76,0.92,0.64,-3.52,-1.36,-0.5,-1.92,-1.49,-2.44,-3.72,-1.8,-2.48,-0.49,-5.09,-1.15,-1.86,-0.36,-3.05,-5.1
198208,5.22,5.91,7.06,5.73,6.21,11.75,9.62,7.39,9.43,7,10.08,11.51,9.34,12.18,11.92,14.11,13.04,10.78,11.75,12.34,14.69,11.51,11.8,12.29,14.58
198209,3.66,4.72,4.61,5.4,1.05,2.9,5.62,5.82,4.08,1.76,3.68,4.16,3.69,4.66,3.4,2.14,3.74,3.33,4.07,1.85,-0.86,2.12,1.15,0.71,1.21
198210,13.63,12.85,14.06,11.66,16.33,13.3,11.06,12.73,12.45,16.08,15.05,12.31,12.1,13.25,14.96,14.06,15.56,12.54,11.75,15.4,16.89,10.16,8.56,10.58,15.59
198211,10.64,9.82,8.73,10.41,10.34,11.6,8.66,8.85,7.95,7.37,9.76,5.62,7.17,9.21,9.11,5.25,6.33,5.67,6.55,7.63,7.48,2.95,3.69,3.06,6.25
198212,2.68,2.81,2.36,1.57,2.23,0.66,2.75,-0.22,2.22,0.03,0.55,3.78,0.1,0.18,-0.05,4.21,0.42,1.06,0.57,0.74,0.08,1.59,1.73,2.67,-1.8
198301,10.37,7.13,8.34,9.58,11.83,8.13,4.96,4.61,5.25,7.51,3.89,3.36,3.25,2.35,6.77,3.5,2.01,2.84,2.88,5.69,6.42,1.94,4.63,2.93,3.19
198302,7.95,6.88,7.3,7.09,3.34,8.12,7.68,5.86,4.64,4.6,6.06,4.58,6.74,5.24,3.85,-0.13,4.85,4.77,5.9,2.48,2.05,2.6,2.25,2.44,3.44
198303,6.89,6.54,6.43,5.66,3.38,5.4,5.44,6.68,4.9,1.98,8.44,6.22,4.41,3.27,3.07,3.91,4.35,6.71,2.78,0.41,4.18,5.96,2.17,2.58,4.4
198304,8.33,7.54,9.5,6.57,8.19,9.25,6.01,8.21,9.97,7.08,7.61,7.43,5.34,7.14,6.45,9.99,5.98,5.1,6.65,5.86,8.77,7.17,8.35,6.7,6.98
198305,10.31,7.97,9.17,9.33,10.57,5.58,5.88,3.23,4.98,6.88,4.22,2.75,3.65,1.78,5.27,4.39,2.82,1.88,2.26,5.94,-2.51,-3.92,-1.74,-0.77,2.1
198306,6.32,4.32,3.31,4.09,3.56,4.61,4.58,3.77,3.89,5.4,3.48,3.72,3.67,4.24,4.18,1.84,-0.09,3.17,4.71,6.4,4.3,1.44,2.45,5.94,4.67
198307,-1.43,-2.24,-1.18,-1.47,-4.5,-1.11,-2.55,-0.83,-3.23,-4.69,-2.16,-0.78,-0.4,-2.67,-2.82,-3.5,-2.91,-1.16,-2.71,-4.28,1.71,-2.24,-3.15,-3.66,-6.49
198308,-4.6,-2.7,-3.1,-2.99,-4.69,-3.49,-1.67,-2.95,-2.06,-3.79,-1.09,-2.27,-1.92,-1.93,-2.86,2.06,0.54,-0.04,0.6,-2.3,-0.09,3.83,2.31,0.68,-0.61
